n,DP-list,DP-matrix,MC-list,MC-matrix
10,3.85443369547526e-05,6.06377919514974e-05,0.0056413014729817705,0.01073924700419108
20,0.00012485186258951822,0.00020798047383626303,0.019669612248738606,0.03735272089640299
40,0.00043050448099772137,0.0007345676422119141,0.07018295923868816,0.13800533612569174
60,0.0009333292643229166,0.0015975634256998699,0.1518882910410563,0.29730669657389325
80,0.0017679532368977864,0.002920389175415039,0.26115886370340985,0.5203104019165039
120,0.0036147435506184897,0.006354888280232747,0.5697065989176432,1.1347816785176594
