T,DP-list,DP-matrix,MC-list,MC-matrix
2,0.0002694129943847656,0.0005929470062255859,0.015967607498168945,0.025427977244059246
5,0.000583648681640625,0.0010172526041666667,0.0625759760538737,0.12440204620361328
10,0.001172939936319987,0.0020264784495035806,0.2225202719370524,0.44214820861816406
20,0.002353032430013021,0.004010438919067383,0.7355679670969645,1.4278443654378254
40,0.004719734191894531,0.008044004440307617,1.8778699239095051,3.6358304023742676
