density,DP-list,DP-matrix,MC-list,MC-matrix
0.05,0.0002452532450358073,0.0008638699849446615,0.03660106658935547,0.17694902420043945
0.1,0.000370025634765625,0.001037915547688802,0.06092508633931478,0.20179899533589682
0.2,0.0006576379140218099,0.0013107458750406902,0.10590775807698567,0.2501285870869954
0.4,0.0012141068776448567,0.001912991205851237,0.19108136494954428,0.33687710762023926
0.8,0.0023414293924967446,0.002898613611857096,0.32585803667704266,0.42879684766133624
